"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"445",0,"170C","157B",5,0,0,0,0,0
"446",0,"170C","158",5,0,0,0,0,0
"447",0,"170C","159",5,0,0,0,0,0
"448",0,"170C","165A",5,0,0,0,0,0
"449",0,"170C","168A",5,0,0,0,0,0
"450",0,"170C","170C",5,0,0,0,0,0
"451",0,"170C","41",5,0,0,0,0,0
"452",0,"170C","53",5,0,0,0,0,0
"453",0,"170C","57",5,0,0,0,0,0
"454",0,"170C","67",5,0,0,0,0,0
"455",0,"170C","74",5,0,0,0,0,0
"456",0,"170C","77",5,0,0,0,0,0
"457",0,"41","122A",5,0,0,0,0,0
"458",0,"41","126B",5,0,0,0,0,0
"459",0,"41","135A",5,0,0,0,0,0
"460",0,"41","135B",5,0,0,0,0,0
"461",0,"41","137B",5,0,0,0,0,0
"462",0,"41","144A",5,0,0,0,0,0
"463",0,"41","145B",5,0,0,0,0,0
"464",0,"41","147A",5,0,0,0,0,0
"465",0,"41","149A",5,0,0,0,0,0
"466",0,"41","152A",5,0,0,0,0,0
"467",0,"41","152B",5,0,0,0,0,0
"468",0,"41","154C",5,0,0,0,0,0
"469",0,"41","157B",5,0,0,0,0,0
"470",0,"41","158",5,0,0,0,0,0
"471",0,"41","159",5,0,0,0,0,0
"472",0,"41","165A",5,0,0,0,0,0
"473",0,"41","168A",5,0,0,0,0,0
"474",0,"41","170C",5,0,0,0,0,0
"475",0,"41","41",5,0,0,0,0,0
"476",0,"41","53",5,0,0,0,0,0
"477",0,"41","57",5,0,0,0,0,0
"478",0,"41","67",5,0,0,0,0,0
"479",0,"41","74",5,0,0,0,0,0
"480",0,"41","77",5,0,0,0,0,0
"481",0,"50% TY","122A",5,0,0,0,0,0
"482",0,"50% TY","126B",5,0,0,0,0,0
"483",0,"50% TY","135A",5,0,0,0,0,0
"484",0,"50% TY","135B",5,0,0,0,0,0
"485",0,"50% TY","137B",5,0,0,0,0,0
"486",0,"50% TY","144A",5,0,0,0,0,0
"487",0,"50% TY","145B",5,0,0,0,0,0
"488",0,"50% TY","147A",5,0,0,0,0,0
"489",0,"50% TY","149A",5,0,0,0,0,0
"490",0,"50% TY","152A",5,0,0,0,0,0
"491",0,"50% TY","152B",5,0,0,0,0,0
"492",0,"50% TY","154C",5,0,0,0,0,0
"493",0,"50% TY","157B",5,0,0,0,0,0
"494",0,"50% TY","158",5,0,0,0,0,0
"495",0,"50% TY","159",5,0,0,0,0,0
"496",0,"50% TY","165A",5,0,0,0,0,0
"497",0,"50% TY","168A",5,0,0,0,0,0
"498",0,"50% TY","170C",5,0,0,0,0,0
"499",0,"50% TY","41",5,0,0,0,0,0
"500",0,"50% TY","53",5,0,0,0,0,0
"501",0,"50% TY","57",5,0,0,0,0,0
"502",0,"50% TY","67",5,0,0,0,0,0
"503",0,"50% TY","74",5,0,0,0,0,0
"504",0,"50% TY","77",5,0,0,0,0,0
"505",0,"53","122A",5,0,0,0,0,0
"506",0,"53","126B",5,0,0,0,0,0
"507",0,"53","135A",5,0,0,0,0,0
"508",0,"53","135B",5,0,0,0,0,0
"509",0,"53","137B",5,0,0,0,0,0
"510",0,"53","144A",5,0,0,0,0,0
"511",0,"53","145B",5,0,0,0,0,0
"512",0,"53","147A",5,0,0,0,0,0
"513",0,"53","149A",5,0,0,0,0,0
"514",0,"53","152A",5,0,0,0,0,0
"515",0,"53","152B",5,0,0,0,0,0
"516",0,"53","154C",5,0,0,0,0,0
"517",0,"53","157B",5,0,0,0,0,0
"518",0,"53","158",5,0,0,0,0,0
"519",0,"53","159",5,0,0,0,0,0
"520",0,"53","165A",5,0,0,0,0,0
"521",0,"53","168A",5,0,0,0,0,0
"522",0,"53","170C",5,0,0,0,0,0
"523",0,"53","41",5,0,0,0,0,0
"524",0,"53","53",5,0,0,0,0,0
"525",0,"53","57",5,0,0,0,0,0
"526",0,"53","67",5,0,0,0,0,0
"527",0,"53","74",5,0,0,0,0,0
"528",0,"53","77",5,0,0,0,0,0
"529",0,"57","122A",5,0,0,0,0,0
"530",0,"57","126B",5,0,0,0,0,0
"531",0,"57","135A",5,0,0,0,0,0
"532",0,"57","135B",5,0,0,0,0,0
"533",0,"57","137B",5,0,0,0,0,0
"534",0,"57","144A",5,0,0,0,0,0
"535",0,"57","145B",5,0,0,0,0,0
"536",0,"57","147A",5,0,0,0,0,0
"537",0,"57","149A",5,0,0,0,0,0
"538",0,"57","152A",5,0,0,0,0,0
"539",0,"57","152B",5,0,0,0,0,0
"540",0,"57","154C",5,0,0,0,0,0
"541",0,"57","157B",5,0,0,0,0,0
"542",0,"57","158",5,0,0,0,0,0
"543",0,"57","159",5,0,0,0,0,0
"544",0,"57","165A",5,0,0,0,0,0
"545",0,"57","168A",5,0,0,0,0,0
"546",0,"57","170C",5,0,0,0,0,0
"547",0,"57","41",5,0,0,0,0,0
"548",0,"57","53",5,0,0,0,0,0
"549",0,"57","57",5,0,0,0,0,0
"550",0,"57","67",5,0,0,0,0,0
"551",0,"57","74",5,0,0,0,0,0
"552",0,"57","77",5,0,0,0,0,0
"553",0,"67","122A",5,0,0,0,0,0
"554",0,"67","126B",5,0,0,0,0,0
"555",0,"67","135A",5,0,0,0,0,0
"556",0,"67","135B",5,0,0,0,0,0
"557",0,"67","137B",5,0,0,0,0,0
"558",0,"67","144A",5,0,0,0,0,0
"559",0,"67","145B",5,0,0,0,0,0
"560",0,"67","147A",5,0,0,0,0,0
"561",0,"67","149A",5,0,0,0,0,0
"562",0,"67","152A",5,0,0,0,0,0
"563",0,"67","152B",5,0,0,0,0,0
"564",0,"67","154C",5,0,0,0,0,0
"565",0,"67","157B",5,0,0,0,0,0
"566",0,"67","158",5,0,0,0,0,0
"567",0,"67","159",5,0,0,0,0,0
"568",0,"67","165A",5,0,0,0,0,0
"569",0,"67","168A",5,0,0,0,0,0
"570",0,"67","170C",5,0,0,0,0,0
"571",0,"67","41",5,0,0,0,0,0
"572",0,"67","53",5,0,0,0,0,0
"573",0,"67","57",5,0,0,0,0,0
"574",0,"67","67",5,0,0,0,0,0
"575",0,"67","74",5,0,0,0,0,0
"576",0,"67","77",5,0,0,0,0,0
"577",0,"74","122A",5,0,0,0,0,0
"578",0,"74","126B",5,0,0,0,0,0
"579",0,"74","135A",5,0,0,0,0,0
"580",0,"74","135B",5,0,0,0,0,0
"581",0,"74","137B",5,0,0,0,0,0
