"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"269","135A","135B",0,5,0,0,0,0,0
"270","135A","135B",24,5,0.05066,0.0471,0.00705854092571545,0.00315667546637281,0.00876433614730875
"271","135A","135B",39,5,0.13276,0.133,0.00316749112074525,0.00141654509282268,0.00393295968925947
"272","135A","135B",48,5,0.16756,0.169,0.00707516784253208,0.00316411124962445,0.00878498119132108
"273","135A","135B",62,5,0.21482,0.2127,0.00543617512595023,0.00243113142384364,0.00674990294182322
"274","135A","137B",0,5,0,0,0,0,0
"275","135A","137B",24,5,0.07788,0.076,0.0137197667618659,0.00613566622299486,0.0170353404519615
"276","135A","137B",39,5,0.16702,0.1649,0.0119520709502579,0.00534512862333546,0.0148404562029123
"277","135A","137B",48,5,0.19702,0.1981,0.0118011440123405,0.0052776320447716,0.0146530556577411
"278","135A","137B",62,5,0.25276,0.2567,0.00884607257487752,0.00395608392226455,0.0109838498417231
"279","135A","144A",0,5,0,0,0,0,0
"280","135A","144A",24,5,0.05126,0.0499,0.00630499801744616,0.0028196808330022,0.007828689047009
"281","135A","144A",39,5,0.15096,0.1486,0.00696153718657022,0.00311329407541273,0.00864389009672096
"282","135A","144A",48,5,0.16978,0.1692,0.00368334087480375,0.00164724011607294,0.00457347175735617
"283","135A","144A",62,5,0.19166,0.1909,0.00387078803346296,0.00173106903386318,0.0048062181458289
"284","135A","145B",0,5,0,0,0,0,0
"285","135A","145B",24,5,0.06154,0.0623,0.00308593583860715,0.00138007246186568,0.00383169543156524
"286","135A","145B",39,5,0.14948,0.1485,0.00551198693757523,0.00246503549670182,0.00684403573895658
"287","135A","145B",48,5,0.17968,0.1786,0.00287262945748316,0.00128467894822014,0.00356684057753645
"288","135A","145B",62,5,0.21322,0.2113,0.00458715598165138,0.00205143851967345,0.00569570643656157
"289","135A","147A",0,5,0,0,0,0,0
"290","135A","147A",24,5,0.05704,0.0586,0.00316037972402052,0.00141336477952438,0.00392412972396942
"291","135A","147A",39,5,0.13522,0.136,0.00465854054399014,0.00208336266646016,0.00578434207764514
"292","135A","147A",48,5,0.17764,0.178,0.00458835482498902,0.00205197465871292,0.0056971949971734
"293","135A","147A",62,5,0.2293,0.2284,0.00452493093869951,0.00202361063448481,0.00561844384094155
"294","135A","149A",0,5,0,0,0,0,0
"295","135A","149A",24,5,0.0614,0.0597,0.00676646140903797,0.00302605353554758,0.00840167152683756
"296","135A","149A",39,5,0.14054,0.1409,0.00345586458068021,0.00154550962468695,0.00429102263249816
"297","135A","149A",48,5,0.1664,0.1696,0.00570832725060504,0.00255284155403347,0.00708782443704175
"298","135A","149A",62,5,0.226,0.225,0.00525357021462547,0.00234946802489414,0.00652316899753607
"299","135A","152A",0,5,0,0,0,0,0
"300","135A","152A",24,5,0.05242,0.0535,0.00313241121183027,0.001400856880627,0.00388940222929948
"301","135A","152A",39,5,0.14222,0.142,0.00323450150718777,0.00144651304867948,0.00401616407361087
"302","135A","152A",48,5,0.17138,0.1717,0.00500269927139339,0.00223727512836486,0.00621167157912938
"303","135A","152A",62,5,0.22742,0.2275,0.00507365745788972,0.00226900859407804,0.0062997778046797
"304","135A","152B",0,5,0,0,0,0,0
"305","135A","152B",24,5,0.07964,0.0807,0.00506833305930066,0.00226662745064115,0.00629316669063957
"306","135A","152B",39,5,0.1594,0.1601,0.00394715087119811,0.0017652195330893,0.00490103513224532
"307","135A","152B",48,5,0.17066,0.1727,0.00739952701191097,0.00330916907999577,0.00918772629442613
"308","135A","152B",62,5,0.25494,0.2542,0.00753644478517557,0.00337040056966528,0.00935773216420301
"309","135A","154C",0,5,0,0,0,0,0
"310","135A","154C",24,5,0.0373,0.0346,0.00675462804305315,0.00302076149339864,0.00838697846231664
"311","135A","154C",39,5,0.16788,0.1667,0.00763459232703358,0.00341429348474908,0.0094795984334403
"312","135A","154C",48,5,0.19304,0.1926,0.00657898168412103,0.00294221005368414,0.00816888470201506
"313","135A","154C",62,5,0.26216,0.2621,0.00147071411225975,0.000657723346096212,0.00182613276484314
