"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"122A_50_TY_3","50_TY",NA,"122A","OC","122A_50_TY",3,5.08425,0.2155,0.2155,0.775505067838104,0.973791233619521
"122A_50_TY_4","50_TY",NA,"122A","OC","122A_50_TY",4,5.65585,0.2149,0.2149,0.898074709221547,0.94878587196468
"122A_50_TY_5","50_TY",NA,"122A","OC","122A_50_TY",5,5.3252,0.1899,0.1899,0.839526414529174,0.817477399913904
"149A_50_TY_1","50_TY",NA,"149A","OE","149A_50_TY",1,6.30085,0.1959,0.1959,0.979008537978076,0.87027987561084
"149A_50_TY_2","50_TY",NA,"149A","OE","149A_50_TY",2,6.2675,0.2073,0.2073,0.999593304678592,0.914827890556046
"149A_50_TY_3","50_TY",NA,"149A","OE","149A_50_TY",3,6.1899,0.2049,0.2049,0.955910059610216,0.881669535283993
"149A_50_TY_4","50_TY",NA,"149A","OE","149A_50_TY",4,6.3781,0.2132,0.2132,1.0300881811428,0.920155373327579
"149A_50_TY_5","50_TY",NA,"149A","OE","149A_50_TY",5,6.2075,0.208,0.208,1.06031361027603,1.02010789602746
"41_50_TY_1","50_TY",NA,"41","CC","41_50_TY",1,5.9123,0.2141,0.2141,0.949965454633097,0.953250222617987
"41_50_TY_2","50_TY",NA,"41","CC","41_50_TY",2,6.3245,0.2292,0.2292,1.02396179065814,1.01957295373665
"41_50_TY_3","50_TY",NA,"41","CC","41_50_TY",3,6.35105,0.2289,0.2289,0.944120292257263,0.945867768595041
"41_50_TY_4","50_TY",NA,"41","CC","41_50_TY",4,6.31185,0.2393,0.2393,0.883220922422478,0.921447824412784
"41_50_TY_5","50_TY",NA,"41","CC","41_50_TY",5,5.76699999999999,0.2324,0.2324,0.882668054365127,0.973607038123167
"126B_50_TY_1","50_TY",NA,"126B","OC","126B_50_TY",1,6.76995,0.1924,0.1924,0.967944639448682,0.792748248866914
"126B_50_TY_2","50_TY",NA,"126B","OC","126B_50_TY",2,5.5765,0.194,0.194,0.938867937234831,0.803978450062164
"126B_50_TY_3","50_TY",NA,"126B","OC","126B_50_TY",3,5.66475,0.2098,0.2098,0.988621192157,0.888983050847458
"126B_50_TY_4","50_TY",NA,"126B","OC","126B_50_TY",4,5.39025,0.2097,0.2097,0.91777836425087,0.87375
"126B_50_TY_5","50_TY",NA,"126B","OC","126B_50_TY",5,5.11015,0.1871,0.1871,0.868725934362967,0.789451476793249
"53_50_TY_1","50_TY",NA,"53","CC","53_50_TY",1,6.25715,0.2321,0.2321,0.877531414787389,0.941964285714286
"53_50_TY_2","50_TY",NA,"53","CC","53_50_TY",2,6.1209,0.2242,0.2242,0.866792701319117,0.91960623461854
"53_50_TY_3","50_TY",NA,"53","CC","53_50_TY",3,7.17665,0.2471,0.2471,1.0256386437529,1.0364932885906
"53_50_TY_4","50_TY",NA,"53","CC","53_50_TY",4,6.55455,0.2217,0.2217,0.868514678309493,0.856977193660611
"53_50_TY_5","50_TY",NA,"53","CC","53_50_TY",5,6.30105,0.2305,0.2305,0.845205598889343,0.897935333073627
"135B_50_TY_1","50_TY",NA,"135B","OE","135B_50_TY",1,7.29734999999998,0.2472,0.2472,1.26087031645515,1.0295710120783
"135B_50_TY_2","50_TY",NA,"135B","OE","135B_50_TY",2,6.80269999999999,0.2345,0.2345,1.13639704654037,0.963039014373717
"135B_50_TY_3","50_TY",NA,"135B","OE","135B_50_TY",3,7.25375,0.2462,0.2462,1.20278404191815,0.997973246858533
"135B_50_TY_4","50_TY",NA,"135B","OE","135B_50_TY",4,7.21779999999999,0.2488,0.2488,1.10342824383719,0.960988798764002
